,song_name,album_name,album_link,artist_name,popularity,release_date,song_link,duration_ms,explicit
971,Spicy,Baddie Club Music,https://open.spotify.com/album/7CFyIU6c7MjXjUbVuvCBDC,Various Artists,0,2023-07-14,https://open.spotify.com/track/3JeZlEhDwEjfzDpHCVOUMh,197040,False
972,Spicy,Pop hits internazionali,https://open.spotify.com/album/1UW4cmCm8Fkj719bU0ALtv,Various Artists,1,2023-07-14,https://open.spotify.com/track/4b65wHcaAsgllCemWPWFBq,197040,False
973,REVEAL,THE BOYZ 1ST ALBUM [REVEAL],https://open.spotify.com/album/0mCPYdhQPWUQtQSp4CSxNh,THE BOYZ,61,2020-02-10,https://open.spotify.com/track/14tNUeer5gUbUYvhYYTclS,202453,False
974,PARANOIA,PARANOIA,https://open.spotify.com/album/6vxwhImvm7xkbIMk0e1LVv,KANGDANIEL,61,2021-02-16,https://open.spotify.com/track/1Q6lzzQHM5dvtTCwcfeKDy,195333,False
975,IDOL,Proof,https://open.spotify.com/album/6al2VdKbb6FIz9d7lU7WRB,BTS,61,2022-06-10,https://open.spotify.com/track/0KCvsHmGvW2XcsxEWJvLPr,222732,False
976,PANG!,SEVENTEEN 9th Mini Album 'Attacca',https://open.spotify.com/album/2PIReru2w5i4JXOzeZnamd,SEVENTEEN,61,2021-10-22,https://open.spotify.com/track/1ZpiUfzl9P0pMkA03xqmUy,178640,False
977,COME BACK HOME,CRUSH,https://open.spotify.com/album/4OviNx5CqaeGhARVtHYtDL,2NE1,61,2014-02-27,https://open.spotify.com/track/63J1RStsmoVKXNTCHRNxii,229627,False
978,Puzzle Piece,Reload,https://open.spotify.com/album/1V5ilz8ghPl1PZJA1hbw3r,NCT DREAM,61,2020-04-29,https://open.spotify.com/track/4hMYovC1APX8ojuANCoeuF,227453,False
979,Sweet Misery,HARD - The 8th Album,https://open.spotify.com/album/3JZJEeWr3LShx36FYbMc5E,SHINee,61,2023-06-26,https://open.spotify.com/track/3n8FLiCA7kzqfWdRk450VJ,185840,False
980,GUNSHOT,KARD 1st Single ‘Way With Words’,https://open.spotify.com/album/23qHJjHFUstyeqN9oHotCI,KARD,61,2020-08-26,https://open.spotify.com/track/4qMt92hgQlJMyJjdI0Nw2h,181480,False
981,Written In The Stars,Written In The Stars,https://open.spotify.com/album/08z3DsL7P6RpBR3FgNMSvN,WENDY,60,2018-10-11,https://open.spotify.com/track/6SLMyJPRTh2zCX9SJJHTZQ,231340,False
982,PUMA,The Dream Chapter: ETERNITY,https://open.spotify.com/album/4jTVGyo4fSSFniFPbfr0bW,TOMORROW X TOGETHER,61,2020-05-18,https://open.spotify.com/track/4dJThL3k5tMRdduAiARM4R,205519,False
983,Симпа,Симпа,https://open.spotify.com/album/33edf21kyjVy8yiKIS1CU1,RaiM,62,2019-01-19,https://open.spotify.com/track/12CyVMukc52Nm31SmFmdjq,150927,False
