,song_name,album_name,album_link,artist_name,popularity,release_date,song_link,duration_ms,explicit
31,白月光与朱砂痣,白月光与朱砂痣,https://open.spotify.com/album/59oQqDR4PppWowikQ1GeLA,大籽,65,2021-01-07,https://open.spotify.com/track/1ghC63dL4Co6i5rVXENFh5,204215,False
32,那些年,燃點,https://open.spotify.com/album/2lFXvFUkCw1HgK6My78Ldk,Hu Xia,60,2012-02-24,https://open.spotify.com/track/3v8FOuA8jxAC5SOA2uN6Mg,369866,False
33,體面,尚未界定,https://open.spotify.com/album/3Izw8Ec6jQUYjSDUifh7XO,Kelly Yu,61,2018-11-06,https://open.spotify.com/track/7oOfvZDUqhiJd9OC2Tq8Nh,282770,False
34,我的回憶不是我的,給自己的情歌 (新曲 + 精選),https://open.spotify.com/album/3CFJKDglHxAZVXTDWFE8A6,Various Artists,50,2009-11-26,https://open.spotify.com/track/07FwByWCTj3pW6dfdiNq07,223706,False
35,消愁,平凡的一天,https://open.spotify.com/album/1PQJPHMZSlh6cCHYX7QFG3,Mao Buyi,59,2018-07-03,https://open.spotify.com/track/1eyhZf2stL2a1AXSfeKyYn,261346,False
36,飞鸟和蝉,飞鸟和蝉,https://open.spotify.com/album/4LGp83hqpcHOAk50c7IQeK,Ren Ran,62,2020-07-03,https://open.spotify.com/track/0O7O4sssbFxoNoB4QRGra1,296006,False
37,忘記你,忘記你,https://open.spotify.com/album/6Arw3DdgAVvgyNa7k3DDA7,Patrick Brasca,47,2020-05-15,https://open.spotify.com/track/5BnolSndlx5zoY6AtqCFWZ,173000,False
38,只想把你偷偷藏好(《偷偷藏不住》电视剧主题曲/片头曲),只想把你偷偷藏好(《偷偷藏不住》电视剧主题曲/片头曲),https://open.spotify.com/album/096qr8b6jJm2oICXJF39tX,Silence Wang,67,2023-06-19,https://open.spotify.com/track/7cwB09xvS1ArgeXozdf3dU,194423,False
39,傻子,大小說家,https://open.spotify.com/album/62r7dcrgRinOk2tTHYiOcl,Yoga Lin,53,2012-06-22,https://open.spotify.com/track/4bouIwzPhLnMDSUCOtrP4G,214400,False
40,是你.,是你.,https://open.spotify.com/album/46mCiXY4QlWCV2q34BQlG9,政学Zed-X,66,2022-12-09,https://open.spotify.com/track/3fiXwwPL7cUvD7BqkHdN0J,95121,False
41,星辰大海,星辰大海,https://open.spotify.com/album/6TMqv3zCwNxM8JbNeUpk4P,黄霄雲,63,2021-01-15,https://open.spotify.com/track/47O6EPP78iQOOma2OVsYwS,207857,False
42,小半,小梦大半,https://open.spotify.com/album/7jXDJuL3KJ9N28rVjmuUrl,陳粒,60,2016-07-26,https://open.spotify.com/track/3QxWTqyIT4O9bokIZlNDpo,297240,False
43,浪費,大小說家,https://open.spotify.com/album/62r7dcrgRinOk2tTHYiOcl,Yoga Lin,50,2012-06-22,https://open.spotify.com/track/6rvSliUoMf9GU9vxAR7nPH,307213,False
44,全世界會唱的歌,全世界會唱的歌,https://open.spotify.com/album/6Qk4DCn1KW3xtICt7Zm08c,David Tao,49,2023-07-11,https://open.spotify.com/track/73xZSDtWpMWnYDCXPbY8Xa,279552,False
45,善变,善变,https://open.spotify.com/album/4YPUobsJARZxrHbgXo4xs1,王靖雯,63,2020-12-01,https://open.spotify.com/track/7KLd6PxR3mvR0jQd8n5Rah,256551,False
46,夢一場,乾脆,https://open.spotify.com/album/5Z7Xo3HNCAuGsCV7TDZz8d,那英,59,1999-07-07,https://open.spotify.com/track/5EIfRhrHwSCa4rhA4jXyES,232333,False
47,壞與更壞,今日營業中,https://open.spotify.com/album/1mrrKAhUxCAIrTDLTYFGnA,Yoga Lin,43,2016-06-18,https://open.spotify.com/track/2WghrEejdhCOXpY5AshwQU,244093,False
48,天真有邪,今日營業中,https://open.spotify.com/album/1mrrKAhUxCAIrTDLTYFGnA,Yoga Lin,52,2016-06-18,https://open.spotify.com/track/1MFmvIDW11eY3Y9nlFWS26,330000,False
49,詩歌舞街,SABINA之淚,https://open.spotify.com/album/5Pw6K47tHMJzjlyMqqF0yf,my little airport,49,2021-08-30,https://open.spotify.com/track/45rZ0CtRR470rAOFiWJNeM,191308,False
50,普通朋友,I'm O.K.,https://open.spotify.com/album/1tOMQ0MGYaMF4F0YtyUKXN,David Tao,60,1999-06-29,https://open.spotify.com/track/7CTitzr4eVIDCPUJi5Dr4B,255133,False
51,特別的人,危險世界,https://open.spotify.com/album/3QR6UyUXB4KclN8HwSIhx9,Khalil Fong,59,2014-04-11,https://open.spotify.com/track/0VTzUEuHYD8s7CgQ15cDPo,259079,False
52,戒菸,嗯,https://open.spotify.com/album/2rdDyfne3rAPxrxGvWvpvK,Ronghao Li,59,2017-11-17,https://open.spotify.com/track/65KjitGykI5QIcsYrNhPZR,293875,False
53,清空,清空,https://open.spotify.com/album/23w8NaKTfstEHCuBozpqKX,王忻辰,64,2021-01-28,https://open.spotify.com/track/5HGvMmgabU7ZkF94klVhdm,177392,False
54,李白,模特,https://open.spotify.com/album/3rVYM5T3TaLeIOyAsKeEPP,Ronghao Li,57,2013-09-16,https://open.spotify.com/track/1jcW6AjFWRyfnTXwLlMMlJ,274920,False
55,我走后 - 发行版,我走后 (发行版),https://open.spotify.com/album/0FFfONkUMV8s41EzZDUfiF,小咪,64,2019-11-01,https://open.spotify.com/track/32UZM0QSWwqzLbyr1YoS7x,248000,False
56,像我這樣的人,平凡的一天,https://open.spotify.com/album/1PQJPHMZSlh6cCHYX7QFG3,Mao Buyi,59,2018-07-03,https://open.spotify.com/track/5VGIY7p4J5WPMCtXYWBdbX,207466,False
57,芒种,芒种,https://open.spotify.com/album/2T7kNiPCcZmkR11YaKaVtR,音阙诗听,64,2019-06-06,https://open.spotify.com/track/3IP4qSMfGeqI2XqHFf25sj,216000,False
58,我有喜欢的人了(《偷偷藏不住》电视剧片尾曲),《偷偷藏不住》影视原声专辑,https://open.spotify.com/album/0Iu6Uth2kvGcJsEm9enE22,Various Artists,66,2023-06-20,https://open.spotify.com/track/1769byiABriA7jefBQIVnd,210419,False
59,三人遊,橙月,https://open.spotify.com/album/3uhvDy6obaVBGrYu7FGYYB,Khalil Fong,54,2008-12-19,https://open.spotify.com/track/0ZkoOzNcWkxXaeWzuBFWPU,237426,False
60,愛愛愛,愛愛愛,https://open.spotify.com/album/75QhyYrpr4b3sJUvmYAU3v,Khalil Fong,57,2006-12-31,https://open.spotify.com/track/59lBAMCis4C6NsPdUV35Vz,215253,False
61,Forever Star(《偷偷藏不住》电视剧插曲),《偷偷藏不住》影视原声专辑,https://open.spotify.com/album/0Iu6Uth2kvGcJsEm9enE22,Various Artists,69,2023-06-20,https://open.spotify.com/track/4hZUa0IFUOHhvZhK1YwXHu,202666,False
62,间距,间距,https://open.spotify.com/album/1wccrWdon60UC49GbPvCyO,en,62,2020-11-10,https://open.spotify.com/track/4U0bL1ouvksMgvXU2aKq4O,283969,False
63,我們的鬼魂,我們的鬼魂,https://open.spotify.com/album/2hRcS0qsuqiCxMQel0zivj,SOPHY,40,2023-06-14,https://open.spotify.com/track/59LwPApVp3ay4m1GyQtefy,224585,False
64,For Ya,For Ya,https://open.spotify.com/album/4mKfHC0bE72mCvjUCGqYx5,蒋小呢,63,2020-11-24,https://open.spotify.com/track/0Uvd67blVYyKn7NR8IhdQQ,153854,False
65,曾经你说,曾经你说,https://open.spotify.com/album/1M44pyFh7BptbWeqqEFVmo,赵乃吉,62,2021-06-21,https://open.spotify.com/track/5QQyJc2UfaRgEQ6oefVXzJ,254819,False
66,成全 - Live,THE GREAT YOGA演唱會數位Live精選,https://open.spotify.com/album/6VFM6nHBsvkHyrZJPyErIy,Yoga Lin,47,2018-07-01,https://open.spotify.com/track/4KqLAui7YgZWdaviZ31Zvv,309801,False
67,紅豆,Timeless,https://open.spotify.com/album/2rntSWCLxmhuB25LlnzkbK,Khalil Fong,54,2009-08-11,https://open.spotify.com/track/5TkQbhQm9BXONk2agDo4w9,236093,False
68,半生雪,半生雪,https://open.spotify.com/album/7umjuv5J6mo52Gs8Y5ubcv,七叔(叶泽浩),60,2021-03-09,https://open.spotify.com/track/78bqfALvRPcASKzAYOpo7z,176842,False
69,流沙,陶喆同名專輯,https://open.spotify.com/album/433Xh8UtsKASBYCt0QNk4Q,David Tao,57,1997-12-06,https://open.spotify.com/track/5ZZwQy1wofQhj7LJDNLflT,242560,False
70,安静的稻草人,安静的稻草人,https://open.spotify.com/album/7Imkt5OfbQXmPOU5rz9kWL,吴大文,63,2021-10-28,https://open.spotify.com/track/3LEhWXtzVIBFORQZYPXqNj,213428,False
71,那些年,"那些年,我們一起追的女孩 電影原聲帶",https://open.spotify.com/album/4hiNZMAuYALFce4XSskXxY,You Are the Apple of My Eye (Original Soundtrack),53,2011-08-02,https://open.spotify.com/track/2MwjcKcekaSQyecQVkmGEw,371080,False
72,Melody,黑色柳丁,https://open.spotify.com/album/3u5zGr9TFLRi2wXeHmNclY,David Tao,57,2002-06-29,https://open.spotify.com/track/6A4wVKbcg0mRriCFjZzX0Z,269000,False
73,只想把你偷偷藏好(《偷偷藏不住》电视剧主题曲/片头曲),《偷偷藏不住》影视原声专辑,https://open.spotify.com/album/0Iu6Uth2kvGcJsEm9enE22,Various Artists,60,2023-06-20,https://open.spotify.com/track/6EBdhq3S5qkXgUlym7cPnm,194423,False
74,踮起腳尖愛,超級偶像 Super! I Do!,https://open.spotify.com/album/1G1wZNcqqUplL1knIC8o8g,Various Artists,59,2011-05-10,https://open.spotify.com/track/18sAGLtcv4bRvwUfmfM5o9,283013,False
75,慢慢等,慢慢等EP,https://open.spotify.com/album/6talyjsMvsi3noZ4jfYXP0,WeiBird,59,2009-03-13,https://open.spotify.com/track/1y9yrb1BMEqqBaFGoMmeIV,221531,False
76,FIRST CLASS (feat. The Crane),FIRST CLASS (feat. The Crane),https://open.spotify.com/album/02xnWnxfcuIKgAXpj1qsx9,Gordon Flanders,48,2023-07-06,https://open.spotify.com/track/3ksUlJXEkMyLt7Tm4sC2aq,184512,False
77,少年,少年,https://open.spotify.com/album/5bXN7segGUJUfO1DvQ4QN2,梦然,61,2020-03-20,https://open.spotify.com/track/56XaEf9Mo2Njaxa9TIn5LR,236114,False
78,西湖沒有中秋,你說之後會找我,https://open.spotify.com/album/3dJsTKVZ2XG4hKu7OJ43Rt,my little airport,50,2018-01-01,https://open.spotify.com/track/12095GlriCNhVCbJV30vKw,127760,False
79,满天星辰不及你,满天星辰不及你,https://open.spotify.com/album/6AvfkqnDNGX27Lz7C02mIt,ycccc,60,2021-12-01,https://open.spotify.com/track/09io3vVKFutG8rzdjjQYfM,216021,False
80,歧義種子,歧義種子,https://open.spotify.com/album/7ulGonGDgcrJnmmnyPDwSa,Kiri T,40,2023-03-23,https://open.spotify.com/track/6v6LW9PslX7RiXoaBfAduq,214524,False
81,愛我還是他,太平盛世,https://open.spotify.com/album/1XnDRFsNxG12nZPRXNcPkU,David Tao,58,2005-08-01,https://open.spotify.com/track/13bw75oRjvxMv9VGIeM32i,292666,False
82,当想你成为习惯,当想你成为习惯,https://open.spotify.com/album/3s1aVlW9nSxkQclJMIEJxo,KeyKey,63,2021-01-09,https://open.spotify.com/track/0PtmLgKpYpqXsdag60pNmO,214528,False
83,與我無關,與我無關,https://open.spotify.com/album/6bTeijBh170q1Qao6kQz6x,阿冗,61,2020-01-02,https://open.spotify.com/track/4nMpKHdWRRfIbg2ogJAfPi,240000,False
84,大魚 - 唱片版,深的深,https://open.spotify.com/album/6rXktEEIKU4LrdseMPzwaP,Zhou Shen,58,2017-11-06,https://open.spotify.com/track/0FfdtQrD9kT42o6Anv4uDn,317597,False
85,感谢你曾来过,感谢你曾来过,https://open.spotify.com/album/0nnT57KfesBkYeVbMaHRUL,阿涵,61,2017,https://open.spotify.com/track/1JLtvvPsHwLyd2ufASdkWV,250005,False
86,致姗姗来迟的你,我愚蠢的理想主义,https://open.spotify.com/album/353IIDl1MSRpQO8ZapI1aH,A Si,56,2016-10-01,https://open.spotify.com/track/4eH9ujPhZSF0HZ1c004wtb,246022,False
87,四季予你,四季予你,https://open.spotify.com/album/25IglxVmbGUl92NJZ0Pvo9,程響,60,2020-12-19,https://open.spotify.com/track/4BGkSCrjiLao1bpibNptTD,248527,False
88,危险派对,危险派对,https://open.spotify.com/album/26hUz0YpKpt5hSUFyxYSeP,王以太,60,2021-11-12,https://open.spotify.com/track/1Rirmp1EfrUgWb4M4Urb07,180571,False
89,起风了,起风了,https://open.spotify.com/album/2sHS7PgWPXrU4SwMvi0Nya,Zhou Shen,57,2020-09-03,https://open.spotify.com/track/59IPPEcm1dL7zu5sKM6II0,323795,False
90,夜空中最亮的星,世界,https://open.spotify.com/album/21lLRacsbXvUovunKge8xU,逃跑计划,59,2012-01-01,https://open.spotify.com/track/7mP4bBFQgt6B3sJfqkIzt2,252253,False
